Upload scanned document,output,flag,username,timestamp
flagged/Upload scanned document/77a425b6ecbcf9863711/Style-basic.png,,,,2024-07-20 18:05:39.188998
flagged/Upload scanned document/50848751a2beb5a2f107/Best-practices-select-3-or-more.png,,,,2024-07-20 19:58:54.049022
